date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:32	718/718	---M-Z	200	added ('OK')	text/plain	date:Mon,%2002%20Jan%202023%2019:32:21%20GMT	https://demo.phlox.pro/robots.txt		(from )
16:58:34	245078/245078	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2011:28:31%20GMT	https://demo.phlox.pro/business-2/	C:/My%20Web%20Sites/phlox%20agency2/demo.phlox.pro/business-2/index.html	(from )
16:58:34	1788935/1788935	---MCZ	200	added ('OK')	text/css	etag:%221b4c07-5e61a483b89c8;5f148e320103e	https://demo.phlox.pro/business-2/wp-content/cache/autoptimize/57/css/autoptimize_4978d3ddf682d877c7c3100399a706c7.css	C:/My%20Web%20Sites/phlox%20agency2/demo.phlox.pro/business-2/wp-content/cache/autoptimize/57/css/autoptimize_4978d3ddf682d877c7c3100399a706c7.css	(from https://demo.phlox.pro/business-2/)
16:58:35	1297/1297	---M-Z	200	added ('OK')	text/css	etag:%22511-5e5f437bc75fc;5f14ebc384ee9	https://demo.phlox.pro/business-2/wp-content/cache/autoptimize/57/css/autoptimize_single_94e30c8ac6d1a050dd4075e58f23d254.css	C:/My%20Web%20Sites/phlox%20agency2/demo.phlox.pro/business-2/wp-content/cache/autoptimize/57/css/autoptimize_single_94e30c8ac6d1a050dd4075e58f23d254.css	(from https://demo.phlox.pro/business-2/)
16:58:35	101851/101851	---MCZ	200	added ('OK')	text/css	etag:W/%2218ddb-5e5f437bcb47c;5f1593726deed	https://demo.phlox.pro/business-2/wp-content/cache/autoptimize/57/css/autoptimize_single_eb3a75a396c9db1cca920c69829cf440.css	C:/My%20Web%20Sites/phlox%20agency2/demo.phlox.pro/business-2/wp-content/cache/autoptimize/57/css/autoptimize_single_eb3a75a396c9db1cca920c69829cf440.css	(from https://demo.phlox.pro/business-2/)
16:58:35	34607/34607	---MC-	200	added ('OK')	application/rss+xml	etag:%22bf659293a2c04325323803ed1692a18f%22	https://demo.phlox.pro/business-2/feed/	C:/My%20Web%20Sites/phlox%20agency2/demo.phlox.pro/business-2/feed/index.html	(from https://demo.phlox.pro/business-2/)
16:58:35	18999/18999	---M-Z	200	added ('OK')	text/css	etag:%224a37-5e5f437bcc41c;5f148e320103e	https://demo.phlox.pro/business-2/wp-content/cache/autoptimize/57/css/autoptimize_single_ef7170d6c76c3c8245478317598e51ae.css	C:/My%20Web%20Sites/phlox%20agency2/demo.phlox.pro/business-2/wp-content/cache/autoptimize/57/css/autoptimize_single_ef7170d6c76c3c8245478317598e51ae.css	(from https://demo.phlox.pro/business-2/)
16:58:36	3873/3873	---M-Z	200	added ('OK')	text/css	etag:%22f21-5e5f437bcc41c;5f148e320103e	https://demo.phlox.pro/business-2/wp-content/cache/autoptimize/57/css/autoptimize_single_1c1377bd80a940d79daf562106f56bb8.css	C:/My%20Web%20Sites/phlox%20agency2/demo.phlox.pro/business-2/wp-content/cache/autoptimize/57/css/autoptimize_single_1c1377bd80a940d79daf562106f56bb8.css	(from https://demo.phlox.pro/business-2/)
16:58:36	757/757	---MC-	200	added ('OK')	application/rss+xml	etag:%22bf659293a2c04325323803ed1692a18f%22	https://demo.phlox.pro/business-2/comments/feed/	C:/My%20Web%20Sites/phlox%20agency2/demo.phlox.pro/business-2/comments/feed/index.html	(from https://demo.phlox.pro/business-2/)
16:58:36	8326/8326	---M-Z	200	added ('OK')	text/css	etag:%222086-5e5f437bcd3bc;5f148e320103e	https://demo.phlox.pro/business-2/wp-content/cache/autoptimize/57/css/autoptimize_single_818ae693cc29500cc791640756d6e98d.css	C:/My%20Web%20Sites/phlox%20agency2/demo.phlox.pro/business-2/wp-content/cache/autoptimize/57/css/autoptimize_single_818ae693cc29500cc791640756d6e98d.css	(from https://demo.phlox.pro/business-2/)
